96.321,238.92,100.21,332.69,130.94,160.47,137.93,437.47,158.88,280.78,177.38,213.13,179.63,89.603,183.39,349.85,218.58,149.93,227.85,276.17,251.53,211.8,254.56,341.86,254.49,419.26,261.99,70.672,290.8,140.01,298.83,277.89,319.88,207.49,329.29,351.56,350.26,88.348,373.6,262.05,379.93,163.78
96.598,238.61,100.25,332.75,130.85,160.59,138.12,437.46,159.06,280.63,177.51,213.01,179.77,89.599,183.5,349.82,218.97,149.96,228.1,276.09,251.62,211.87,254.7,341.88,254.63,419.32,261.82,70.898,290.85,139.94,299.08,278.1,320.07,207.57,329.32,351.92,350.31,88.409,374.03,262.1,380.05,163.7
96.638,238.21,100.07,332.56,130.59,160.63,138.16,437.4,159.11,280.43,177.56,212.85,179.72,89.625,183.45,349.77,219.16,149.9,228.09,276,251.54,211.92,254.7,341.86,254.59,419.32,261.52,71.067,290.67,139.9,299.12,278.13,320.1,207.55,329.14,352.17,350.15,88.497,374.33,262.14,379.95,163.59
96.675,237.89,99.951,332.46,130.28,160.67,138.33,437.37,159.19,280.17,177.64,212.81,179.75,89.643,183.49,349.89,219.32,149.79,228.09,276.01,251.56,211.91,254.74,341.92,254.68,419.34,261.24,71.275,290.57,139.89,299.27,278.28,320.25,207.63,328.99,352.38,350.1,88.619,374.64,262.1,379.87,163.51
96.737,237.91,99.978,332.43,130.18,160.76,138.74,437.42,159.34,280.05,177.88,212.84,179.94,89.639,183.49,349.97,219.48,149.75,228.06,276.11,251.66,212.04,254.88,342.01,254.89,419.58,261.13,71.548,290.59,139.95,299.57,278.46,320.56,207.78,328.99,352.64,350.22,88.82,374.9,262.21,379.91,163.55
96.619,237.76,99.86,332.13,129.98,160.62,138.88,437.42,159.2,279.86,178.05,212.77,180.08,89.652,183.39,349.9,219.53,149.65,227.91,276.11,251.6,212.01,255.02,342.04,254.72,419.7,260.9,71.628,290.61,139.89,299.79,278.51,320.82,207.78,328.78,352.84,350.2,88.851,375.03,262.24,379.79,163.53
96.569,237.68,99.875,331.87,129.86,160.62,139.16,437.45,159.1,279.71,178.24,212.72,180.28,89.609,183.32,349.93,219.66,149.45,227.84,276.14,251.58,212.07,255.27,342.15,254.74,419.72,260.71,71.706,290.69,139.81,299.99,278.57,321.22,207.81,328.61,353.05,350.16,88.871,375.32,262.18,379.84,163.43
96.525,237.72,99.883,331.9,129.82,160.51,139.62,437.66,159.15,279.75,178.43,212.7,180.52,89.668,183.34,349.99,219.83,149.26,227.82,276.23,251.62,212.12,255.48,342.41,254.73,419.87,260.59,71.728,290.88,139.82,300.19,278.59,321.48,207.94,328.49,353.28,350.12,88.85,375.66,262.17,379.94,163.41
96.415,237.68,99.89,331.85,129.77,160.34,140.03,437.78,159.08,279.85,178.52,212.65,180.69,89.787,183.37,349.92,219.92,149.18,227.7,276.25,251.55,212.16,255.55,342.57,254.71,419.63,260.5,71.787,291.05,139.84,300.28,278.61,321.58,207.98,328.31,353.48,349.99,88.762,375.86,262.18,380.04,163.4
96.371,237.63,99.881,331.86,129.78,160.16,140.29,437.99,159.05,279.85,178.74,212.47,180.91,89.923,183.41,349.83,219.96,148.99,227.61,276.22,251.51,212.24,255.59,342.7,254.66,419.5,260.56,71.696,291.32,139.87,300.31,278.73,321.7,207.97,328.16,353.56,349.91,88.704,376.1,262.23,380.2,163.37
96.23,237.62,99.838,331.87,129.77,160,140.57,438.15,158.98,279.95,178.93,212.42,180.97,90.068,183.38,349.72,219.9,148.81,227.53,276.26,251.45,212.31,255.57,342.85,254.53,419.5,260.49,71.526,291.42,139.83,300.25,278.85,321.74,208.12,327.95,353.62,349.76,88.698,376.25,262.29,380.33,163.29
96.253,237.7,99.939,331.9,129.74,159.92,140.88,438.34,158.99,280.11,179.18,212.45,181.04,90.137,183.41,349.72,219.89,148.69,227.44,276.34,251.48,212.38,255.59,342.93,254.46,419.39,260.58,71.499,291.53,139.88,300.23,279.04,321.81,208.28,327.86,353.62,349.69,88.716,376.57,262.23,380.48,163.3
96.289,237.89,100.11,331.77,129.79,159.73,141.13,438.42,158.9,280.09,179.36,212.49,181.09,90.117,183.45,349.59,219.88,148.45,227.44,276.39,251.44,212.38,255.56,342.87,254.22,419.42,260.73,71.34,291.57,139.88,300.1,279.24,321.79,208.39,327.74,353.58,349.58,88.731,376.81,262.18,380.55,163.16
96.35,238,100.11,331.68,129.76,159.63,141.33,438.48,158.82,279.99,179.37,212.45,180.99,89.98,183.39,349.35,219.69,148.22,227.29,276.39,251.31,212.29,255.54,342.75,253.82,419.25,260.8,71.264,291.58,139.91,299.84,279.45,321.71,208.45,327.47,353.59,349.27,88.74,376.88,262.16,380.5,163.04
96.595,238.21,100.28,331.67,129.88,159.43,141.73,438.54,159.09,279.93,179.5,212.63,181.06,89.817,183.42,349.28,219.63,148.03,227.3,276.44,251.45,212.29,255.56,342.67,253.74,418.97,260.87,71.222,291.73,140.03,299.75,279.66,321.8,208.49,327.46,353.54,349.18,88.79,377,262.25,380.55,163
96.773,238.33,100.39,331.64,130.02,159.27,141.99,438.54,159.2,279.78,179.66,212.6,181.02,89.634,183.3,349.06,219.55,147.85,227.33,276.48,251.5,212.29,255.53,342.67,253.61,418.85,260.98,71.078,291.84,140.11,299.6,279.85,321.77,208.51,327.37,353.47,348.98,88.658,376.93,262.29,380.41,162.94
96.872,238.4,100.38,331.57,130.05,159.19,142.1,438.46,159.19,279.68,179.77,212.48,180.82,89.326,183.18,348.79,219.37,147.78,227.32,276.51,251.52,212.32,255.43,342.56,253.46,418.76,261.06,70.804,291.92,140.17,299.43,280.04,321.66,208.53,327.17,353.41,348.76,88.604,376.81,262.41,380.21,162.82
97.152,238.5,100.54,331.6,130.32,159.07,142.28,438.38,159.34,279.63,179.98,212.46,180.69,89.035,183.27,348.57,219.3,147.74,227.41,276.59,251.74,212.32,255.33,342.65,253.43,418.81,261.27,70.63,292.12,140.28,299.46,280.14,321.74,208.64,327.18,353.38,348.61,88.502,376.83,262.57,380.22,162.73
97.325,238.5,100.55,331.59,130.47,158.82,142.41,438.31,159.32,279.53,180.06,212.45,180.52,88.807,183.22,348.41,219.08,147.71,227.47,276.59,251.94,212.35,255.09,342.62,253.2,418.92,261.39,70.389,292.27,140.32,299.57,280.2,321.72,208.68,327.15,353.37,348.41,88.358,376.74,262.65,380.19,162.64
97.489,238.48,100.47,331.62,130.62,158.81,142.56,438.33,159.32,279.55,180.09,212.53,180.3,88.632,183.17,348.18,218.89,147.69,227.54,276.73,252.14,212.46,254.85,342.68,252.99,419.22,261.5,70.163,292.34,140.57,299.68,280.31,321.64,208.83,327.13,353.48,348.08,88.301,376.59,262.81,380.08,162.57
97.722,238.53,100.57,331.75,130.87,158.91,142.88,438.34,159.47,279.51,180.24,212.58,180.18,88.532,183.29,348.09,218.79,147.72,227.62,276.89,252.48,212.62,254.68,342.79,253.01,419.29,261.57,70.007,292.49,140.72,299.88,280.34,321.66,208.9,327.25,353.63,347.97,88.112,376.63,262.91,380.1,162.44
97.919,238.54,100.61,331.71,130.94,158.88,143.03,438.17,159.58,279.44,180.33,212.5,180,88.413,183.33,347.9,218.67,147.72,227.64,276.93,252.64,212.63,254.47,342.7,252.89,419.35,261.56,69.89,292.46,140.76,299.92,280.33,321.54,208.84,327.28,353.64,347.84,87.778,376.59,262.96,380.04,162.2
98.014,238.64,100.61,331.78,131.08,158.98,143.13,438.05,159.58,279.44,180.34,212.52,179.86,88.417,183.38,347.94,218.55,147.82,227.61,276.98,252.7,212.67,254.11,342.55,252.79,419.42,261.46,69.816,292.31,140.75,299.87,280.44,321.28,208.81,327.31,353.7,347.69,87.602,376.5,263.11,380.05,161.99
98.099,238.71,100.68,331.76,131.22,158.96,143.29,437.96,159.6,279.47,180.46,212.56,179.84,88.428,183.43,347.97,218.57,147.93,227.75,277.08,252.82,212.71,253.75,342.48,252.75,419.77,261.62,69.807,292.25,140.8,299.85,280.56,321.01,208.66,327.41,353.77,347.52,87.444,376.43,263.37,380.2,161.92
98.21,238.84,100.78,331.71,131.35,158.88,143.54,437.82,159.75,279.5,180.61,212.49,179.85,88.458,183.47,347.98,218.6,148.22,227.82,277.17,252.93,212.75,253.52,342.46,252.77,420.11,261.83,69.759,292.16,140.87,299.79,280.71,320.87,208.63,327.52,353.83,347.35,87.148,376.3,263.48,380.35,161.87
98.212,239.05,100.82,331.66,131.35,158.98,143.74,437.68,159.79,279.56,180.77,212.45,179.7,88.621,183.46,347.98,218.55,148.51,227.78,277.09,252.86,212.82,253.26,342.37,252.82,420.18,261.93,69.74,291.93,141.04,299.68,280.82,320.83,208.7,327.53,353.98,347.16,86.841,376.05,263.54,380.43,161.82
98.218,239.2,100.88,331.61,131.35,159.06,143.9,437.51,159.83,279.71,180.93,212.4,179.52,88.736,183.47,348.02,218.55,148.66,227.74,276.92,252.76,212.9,252.95,342.32,252.88,420.29,262,69.665,291.75,141.24,299.59,280.78,320.69,208.83,327.59,354.07,346.92,86.524,375.84,263.49,380.53,161.76
98.306,239.25,101.03,331.5,131.34,159.2,144.07,437.41,159.91,279.76,181.08,212.47,179.36,88.762,183.42,348.07,218.58,148.73,227.77,276.73,252.68,212.99,252.79,342.07,252.94,420.34,262.11,69.513,291.68,141.37,299.53,280.7,320.7,208.91,327.7,354.11,346.66,86.254,375.64,263.57,380.7,161.68
